商品名称,价格,商品链接
Jordan Fly Unlimited PFX男子篮球鞋,￥799,https://store.nike.com/cn/zh_cn/pd/jordan-fly-unlimited-pfx-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-XBhZTf/pid-11857474/pgid-12413221
Kevin Durant All-Star Edition Authentic JerseyJordan NBA Connected Jersey 男子球衣,"￥1,499",https://store.nike.com/cn/zh_cn/pd/kevin-durant-all-star-edition-authentic-jersey-jordan-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3-HNh8Lb/pid-12001316/pgid-12416838
波士顿凯尔特人队 (Kyrie Irving) City Edition Authentic JerseyNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E6%B3%A2%E5%A3%AB%E9%A1%BF%E5%87%AF%E5%B0%94%E7%89%B9%E4%BA%BA%E9%98%9F-city-edition-authentic-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11954802/pgid-12262847
Kyrie 4 EP男子篮球鞋,￥899,https://store.nike.com/cn/zh_cn/pd/kyrie-4-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-WyTA40n4/pid-12020365/pgid-12030973
LeBron XV (GS)大童篮球童鞋,"￥1,169",https://store.nike.com/cn/zh_cn/pd/lebron-15-%E5%A4%A7%E7%AB%A5%E7%AF%AE%E7%90%83%E7%AB%A5%E9%9E%8B-yATY0OOe/pid-12259646/pgid-12030765
金州勇士队 (Stephen Curry) Statement Edition AuthenticNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E9%87%91%E5%B7%9E%E5%8B%87%E5%A3%AB%E9%98%9F-statement-edition-authentic-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11881503/pgid-12415873
Air Jordan XXXII Low BG大童篮球童鞋,￥999,https://store.nike.com/cn/zh_cn/pd/air-jordan-32-low-bg-%E5%A4%A7%E7%AB%A5%E7%AF%AE%E7%90%83%E7%AB%A5%E9%9E%8B-pvTjnlK8/pid-11902874/pgid-11931081
Air Jordan Future BG大童（男孩）运动童鞋,￥899,https://store.nike.com/cn/zh_cn/pd/air-jordan-future-bg-%E5%A4%A7%E7%AB%A5%EF%BC%88-%EF%BC%89%E8%BF%90%E5%8A%A8%E7%AB%A5%E9%9E%8B-CSrL4r/pid-12160191/pgid-12413807
Nike Kyrie男子篮球夹克,￥999,https://store.nike.com/cn/zh_cn/pd/kyrie-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E5%A4%B9%E5%85%8B-LFwW4G/pid-11918854/pgid-12413770
Kyrie 4 AS EP男子篮球鞋,￥899,https://store.nike.com/cn/zh_cn/pd/kyrie-4-as-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-3JChbF/pid-12256719/pgid-12257043
LeBron XV (GS)大童篮球童鞋,"￥1,169",https://store.nike.com/cn/zh_cn/pd/lebron-15-%E5%A4%A7%E7%AB%A5%E7%AF%AE%E7%90%83%E7%AB%A5%E9%9E%8B-LVTCfX/pid-11951532/pgid-12415763
Nike Ambassador X男子篮球鞋,￥999,https://store.nike.com/cn/zh_cn/pd/ambassador-10-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-0nTgD1EN/pid-11956546/pgid-12185751
波士顿凯尔特人队 (Kyrie Irving) Icon Edition Swingman JerseyNike NBA Connected Jersey 男子球衣,￥599,https://store.nike.com/cn/zh_cn/pd/%E6%B3%A2%E5%A3%AB%E9%A1%BF%E5%87%AF%E5%B0%94%E7%89%B9%E4%BA%BA%E9%98%9F-icon-edition-swingman-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-12086151/pgid-11988505
