问题发生时间,平台名称,所在地区,上线时间,出问题原因,url,注册资本,法人,风险暴露时间,注册人数,筹集资金,待收金额,现状
2017/2/14,珠宝盒子,山东省青岛市,2015/8/8,良性退出,https://www.p2peye.com/thread-948451-1-1.html,5000万元人民币,吴玉杰,2017年1月1日,不详,不详,不详,发布转型公告
2017/3/22,宝鼎财富,湖北省武汉市,--,平台失联,https://www.p2peye.com/thread-966106-1-1.html,1000万元人民币,滕永清,不详,不详,不详,不详,变更为博彩网站
2017/2/14,申夏资产,上海市普陀区,--,平台失联,https://www.p2peye.com/thread-948448-1-1.html,3500万元人民币,刘新杰,2017年1月17日,不详,不详,不详,网站无法访问
2017/2/14,厚铺街,重庆市万州区,2015/4/1,平台失联,https://www.p2peye.com/thread-948463-1-1.html,1000万元人民币,赵蓓蓓,不详,不详,不详,不详,网站无法访问
2017/4/5,创具财富,浙江省温州市,2015/7/31,平台失联,https://www.p2peye.com/thread-972186-1-1.html,10000万元人民币,林根祥,不详,不详,不详,不详,网站无法访问
2017/4/5,宜民在线,上海市黄浦区,2015/1/1,平台失联,https://www.p2peye.com/thread-972181-1-1.html,3000万元人民币,张钰鹏,不详,不详,不详,不详,网站无法访问
2017/3/22,聚宝阁,湖南省长沙市,--,提现困难,https://www.p2peye.com/thread-966105-1-1.html,3000万元人民币,李琼琼,不详,不详,不详,不详,"限制提现
"
2017/3/17,穿山甲金服,上海市黄浦区,2015/2/5,平台失联,https://www.p2peye.com/thread-963745-1-1.html,10000万元人民币,芮森林,不详,不详,不详,不详,网站无法访问
2017/3/7,中邦富民,北京市朝阳区,--,平台失联,https://www.p2peye.com/thread-958208-1-1.html,"9900万元人民币
",张子强,2017年3月7日,不详,不详,不详,网站无法访问
2017/3/7,中元典石,北京市西城区,--,平台失联,https://www.p2peye.com/thread-958215-1-1.html,5001万元人民币 ,张铁良,2017年3月7日,不详,不详,不详,网站无法访问
2017/2/21,88财富,广东省深圳市,2013/10/19,终止运营,https://www.p2peye.com/thread-951578-1-1.html,20000万元人民币,张伟,2017年2月15日,不详,84亿9430万,不详,发布停止运营公告
2017/2/10,路路通,江苏省南通市,--,平台失联,https://www.p2peye.com/thread-933459-1-1.html,3000万元 人民币,黄金泉,不详,不详,不详,不详,网站无法访问
2017/2/28,乾友资产,浙江省宁波市,2015/7/20,,https://www.p2peye.com/thread-954975-1-1.html,"5000万元人民币
",楼科庭,2017年2月27日,不详,不详,不详,发布限制提现，暂停运营公告
2017/2/9,尚峨金融,上海市奉贤区,--,平台失联,https://www.p2peye.com/thread-932903-1-1.html,5000万元 人民币,蔡伏全,不详,不详,不详,不详,网站无法访问
2017/2/10,卡融网,四川省成都市,2016/7/22,平台失联,https://www.p2peye.com/thread-933457-1-1.html,2000万元 人民币,刘海燕,不详,不详,不详,不详,网站无法访问
2017/3/7,中海投资,上海市闵行区,--,平台失联,https://www.p2peye.com/thread-958210-1-1.html,"100000万元人民币
",陈黎思,2017年3月7日,不详,不详,不详,网站无法访问
2017/3/7,日旺顺,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-958218-1-1.html,30000万元人民币,万红梅,2017年3月7日,不详,不详,不详,网站无法访问
2017/3/9,博远达投资,山东省济南市,--,平台失联,https://www.p2peye.com/thread-959510-1-1.html,500万元人民币,解文莉,2017年2月27日,不详,不详,不详,网站无法访问
2017/2/22,壹本金融,上海市黄浦区,2014/6/27,平台失联,https://www.p2peye.com/thread-952244-1-1.html,"100万元人民币 
",钟佳林,不详,不详,不详,不详,网站无法访问，网站跳转到阿里云，客服电话回应非此公司电话
2017/3/14,岩隆财富,广东省深圳市,--,终止运营,https://www.p2peye.com/thread-961810-1-1.html,30000万元人民币,杨松,2017年3月10日,不详,不详,不详,网站无法访问，页面显示升级改版
2017/2/22,希顾财富,上海市奉贤区,--,平台失联,https://www.p2peye.com/thread-952220-1-1.html,9000万元人民币,苏正玉,2017年2月11日,不详,不详,不详,网站无法访问
