岗位名称	链接	公司	类型	地点	薪水/天	每周最少实习天数	最短实习月份
数据分析实习	/intern/inn_d1t8yls2i2pf	猫眼电影	运营	北京	120-160/天	5天/周	4个月
金融数据分析师	/intern/inn_0pegiujnu2hm	世纪纵横	投资	北京	100-150/天	5天/周	5个月
数据分析实习	/intern/inn_qeemlucqnhbm	滴滴出行	产品	北京	150-250/天	4天/周	3个月
采购数据分析员	/intern/inn_utpavevcjwrj	哈曼	分析/调研	上海	120-121/天	4天/周	6个月
数据分析师实习	/intern/inn_edj5gazwtzmt	䜩??or㑇数说故事	分析/调研	北京	100-200/天	4天/周	3个月
实习数据分析师	/intern/inn_arzzzyspy2y5	䜩??or㑇数说故事	云计算/大数据	上海	100-200/天	4天/周	4个月
数据分析师实习	/intern/inn_m4jckntz0xjo	䜩??or㑇数说故事	分析/调研	广州	100-200/天	5天/周	5个月
数据分析实习	/intern/inn_yfifsxvfrzv4	电通数码	市场	北京	80-100/天	4天/周	8个月
数据分析实习	/intern/inn_c75ex5udmpco	T???? ?	数据挖掘	北京	120-150/天	3天/周	3个月
数据分析实习	/intern/inn_6qllhioeahbb	奢分期	市场	广州	100-120/天	5天/周	6个月
数据分析实习	/intern/inn_io6mmwrknzu8	盈盈理	软件	杭州	100-150/天	5天/周	3个月
数据分析实习	/intern/inn_y7dftn2vc71a	博彦科技	运营	西安	80-120/天	5天/周	7个月
数据分析实习	/intern/inn_m8jobaoh4y2f	尼尔森网?	分析/调研	北京	80-100/天	4天/周	4个月
大数据分析师	/intern/inn_kdsopkhemxfm	北斗院	云计算/大数据	深圳	99-100/天	5天/周	3个月
数据分析实习	/intern/inn_ssktdlgj9cwc	红星美凯龙	云计算/大数据	上海	100-120/天	3天/周	13个月
数据分析实习	/intern/inn_gs4f69s9tdad	达美乐比萨	分析/调研	上海	100-120/天	2天/周	12个月
数据分析实习	/intern/inn_rvt6t1fdpjkb	汇信科技	市场	杭州	150-200/天	4天/周	3个月
数据分析实习	/intern/inn_xr4slfd1aur3	蓝城兄弟	渠道	北京	150-200/天	5天/周	6个月
数据分析实习	/intern/inn_4cvymdxnzect	中科?玑	云计算/大数据	北京	100-200/天	4天/周	15个月
数据分析实习	/intern/inn_d6s2aosb6zl2	上汽通用汽车金融	软件	上海	120-121/天	2天/周	5个月
数据分析实习	/intern/inn_zq1emtjjb1vr	超对称	数据库	北京	150-239/天	4天/周	3个月
数据分析实习	/intern/inn_vuvngp1bgpv0	宜信富	产品运营	上海	100-120/天	4天/周	8个月
数据分析实习	/intern/inn_udnbqiuyvahh	留海科技	数据挖掘	广州	100-120/天	4天/周	4个月
客户数据分析师	/intern/inn_v3blkdrwm3os	瑞易信息技术	云计算/大数据	上海	180-190/天	3天/周	14个月
数据分析实习	/intern/inn_gcyqoruz1ez0	䜩???	云计算/大数据	上海	150-300/天	4天/周	5个月
数据分析实习	/intern/inn_wkgwpx5r6jhq	滴滴出行	数据库	北京	200-260/天	4天/周	4个月
数据分析实习	/intern/inn_uvdku8ebwy7s	多益网络	数据挖掘	广州	100-120/天	3天/周	3个月
数据分析师助理	/intern/inn_luzeyzxkzswx	华彬立成	分析/调研	"北京,上海"	50-100/天	4天/周	5个月
数据分析实习	/intern/inn_cayy9xwcyi8r	滴滴出行	数据挖掘	北京	150-200/天	5天/周	4个月
数据分析实习	/intern/inn_uajgxaay7anm	人人网	数据库	上海	80-100/天	3天/周	3个月
数据分析实习	/intern/inn_s67nbpigjf0j	华彬立成	产品助理	上海	80-100/天	4天/周	16个月
数据分析实习	/intern/inn_cswfhl8u14rx	映客直播	产品助理	北京	130-160/天	4天/周	5个月
数据分析实习	/intern/inn_3pgydilkqkje	?点资讯	分析/调研	北京	150-180/天	5天/周	5个月
数据分析实习	/intern/inn_i2ehztu2xawn	?点资讯	软件	北京	150-300/天	5天/周	3个月
数据分析实习	/intern/inn_ndbbws0ocy7r	竞越顾问	分析/调研	上海	120-150/天	3天/周	4个月
数据分析实习	/intern/inn_pb81fo5p48pn	万科	数据挖掘	深圳	100-120/天	4天/周	3个月
